LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,DaysPastDue,OriginalValue,CreditScore,Term,Mo_Term,Mo_Payment,Rem_Term,Seasoning,Bad
949,9845.01,17.01,500,0,17800,590,69,54,500.00,23,0.57,0
950,3727.84,17.01,450,0,9775,538,54,71,450.00,9,0.87,0
952,5525.58,14.1,550,0,13175,556,61,60,550.00,11,0.82,0
954,5007.79,19.71,550,0,14450,621,50,64,550.00,10,0.84,0
956,6669.16,17.95,450,0,10625,587,58,70,450.00,17,0.76,0
959,14926.59,17.25,635.45,5,16175,551,82,62,635.45,29,0.53,0
960,11003.87,18.65,399.8,0,9925,649,69,66,399.80,36,0.45,0
961,6152.5,18.23,474.04,0,14850,506,74,68,474.04,15,0.78,0
962,3752.65,18.23,346.57,0,7475,491,74,66,346.57,12,0.82,0
963,7137.15,17.5,422.42,170,7625,589,49,72,422.42,20,0.72,1
965,13219.34,20,591.69,73,13925,501,61,66,591.69,28,0.58,0
966,7397.37,21,364.71,69,5650,603,57,66,364.71,25,0.62,0
967,1386.43,22,591.8,0,13550,618,48,66,591.80,2,0.97,0
968,3443.31,20,422.73,15,6000,591,54,67,422.73,9,0.87,0
969,8011.26,18.49,274.64,43,11550,580,66,71,274.64,39,0.45,0
970,8083.57,22.9,219.36,0,6600,639,130,28,473.82,21,0.25,0
971,9036.22,22.9,227.95,0,7025,505,132,33,492.37,23,0.30,0
972,11277.07,22.9,227.95,3,6750,532,140,31,492.37,30,0.03,0
973,8878.92,22.9,223.45,0,5700,590,130,31,482.65,23,0.26,0
974,10576.41,22.9,225.78,0,6450,566,138,31,487.68,28,0.10,0
975,8210.47,22.9,221.47,40,6450,512,130,31,478.38,21,0.32,0
976,6050.31,19.9,360,1,8750,511,59,66,360.00,20,0.70,0
977,5709.94,14.99,301.64,0,5050,579,67,70,301.64,22,0.69,0
